,Easting Coord,Northing Coord,Depth
0,299626.25,5995739.75,20.16
1,299674.5,5995632.75,20.06
2,299623.0,5995640.25,19.95
3,299633.25,5995588.25,19.86
4,299605.5,5995773.125,20.205
5,299664.375,5995758.125,20.322499999999998
6,299612.5,5995761.125,20.195
7,299713.875,5995381.625,19.955000000000002
8,299629.25,5995716.125,20.134999999999998
9,299607.0,5995831.25,20.26
10,299634.375,5995650.125,19.97
11,299624.25,5995787.0,20.25
12,299633.75,5995601.75,19.88
13,299617.875,5995741.0,20.165
14,299683.875,5995599.125,19.9725
15,299709.375,5995373.5,19.835
16,299686.5,5995403.75,19.62
17,299693.75,5995514.5,19.91
18,299627.75,5995680.5,20.03
19,299618.75,5995674.75,20.05
20,299673.75,5995418.75,19.75
21,299659.5,5995584.125,19.85
22,299664.0,5995656.125,20.07
23,299711.5,5995440.125,19.895
24,299699.25,5995385.5,19.77
25,299687.5,5995466.25,19.87
26,299721.0,5995380.125,19.95
27,299602.25,5995799.0,20.22
28,299658.375,5995787.0,20.295
29,299669.25,5995383.5,19.53
30,299645.5,5995763.0,20.22
31,299652.0,5995464.125,19.705
32,299666.75,5995633.25,20.03
33,299647.5,5995787.25,20.32
34,299623.25,5995832.0,20.26
35,299681.75,5995628.5,20.11
36,299674.875,5995578.125,19.9175
37,299639.25,5995746.5,20.18
38,299666.25,5995368.125,19.435000000000002
39,299627.25,5995663.625,20.01
40,299679.0,5995472.0,19.83
41,299693.25,5995498.625,19.88
42,299641.5,5995521.125,19.73
43,299666.5,5995521.5,19.82
44,299628.375,5995694.0,20.075
45,299695.25,5995480.25,19.93
46,299655.0,5995769.75,20.29
47,299632.25,5995643.25,19.97
48,299670.0,5995428.5,19.76
49,299667.75,5995695.125,20.17
50,299694.0,5995535.0,19.98
51,299680.875,5995615.0,20.045
52,299715.375,5995407.75,19.905
53,299641.875,5995621.0,19.96
54,299640.0,5995690.25,20.11
55,299670.375,5995450.0,19.75
56,299699.25,5995403.0,19.79
57,299662.25,5995374.5,19.5
58,299650.875,5995800.5,20.37
59,299655.0,5995520.75,19.75
60,299667.0,5995346.25,19.45
61,299635.5,5995550.5,19.83
62,299719.5,5995361.25,19.81
63,299615.25,5995753.75,20.18
64,299686.5,5995446.75,19.86
65,299638.5,5995516.25,19.72
66,299668.5,5995382.75,19.53
67,299719.25,5995361.25,19.81
68,299651.25,5995610.25,19.95
69,299634.375,5995838.0,20.335
70,299670.75,5995377.125,19.55
71,299629.25,5995808.75,20.25
72,299697.375,5995340.5,19.595
73,299671.0,5995415.5,19.74
74,299681.5,5995551.75,19.91
75,299704.25,5995383.75,19.78
76,299673.375,5995343.5,19.59
77,299659.5,5995637.75,19.98
78,299654.75,5995731.5,20.22
79,299673.0,5995368.125,19.535
80,299656.5,5995560.5,19.82
81,299701.5,5995495.25,19.91
82,299701.0,5995356.5,19.76
83,299667.0,5995410.125,19.675
84,299719.5,5995366.0,19.83
85,299666.75,5995373.75,19.5
86,299644.5,5995693.25,20.11
87,299663.75,5995649.25,20.07
88,299661.375,5995721.25,20.24
89,299694.75,5995454.0,19.89
90,299612.5,5995727.75,20.16
91,299663.25,5995508.75,19.75
92,299656.0,5995494.125,19.67
93,299708.75,5995368.5,19.88
94,299662.5,5995507.0,19.74
95,299683.25,5995400.25,19.68
96,299664.375,5995359.5,19.45
97,299628.75,5995613.0,19.94
98,299660.25,5995592.25,19.86
99,299673.0,5995394.75,19.62
100,299655.0,5995451.0,19.68
101,299676.75,5995632.5,20.1
102,299647.5,5995483.25,19.69
103,299659.5,5995501.25,19.71
104,299651.75,5995561.625,19.81
105,299664.0,5995492.625,19.805
106,299669.25,5995550.5,19.83
107,299707.5,5995373.0,19.79
108,299647.5,5995722.5,20.15
109,299609.25,5995793.75,20.2
110,299710.75,5995432.625,19.87
111,299642.75,5995658.75,20.05
112,299640.75,5995778.5,20.28
113,299654.75,5995658.0,20.07
114,299665.875,5995626.75,20.015
115,299645.5,5995803.75,20.36
116,299681.5,5995540.0,19.86
117,299648.25,5995847.5,20.39
118,299676.0,5995415.75,19.78
119,299702.75,5995440.125,19.78
120,299653.0,5995516.625,19.755000000000003
121,299632.875,5995699.625,20.097500000000004
122,299659.25,5995583.75,19.85
123,299639.75,5995737.5,20.16
124,299635.0,5995834.25,20.34
125,299694.375,5995391.25,19.66
126,299664.75,5995491.75,19.79
127,299687.25,5995413.125,19.73
