,0,1,2,3,4,5,6
0,Manual MBES Boulder,300030.426,5992749.183,18.85,1.177,0.724,0.224
1,Manual MBES Boulder,300033.855,5992784.47,18.28,1.144,1.056,0.218
2,Manual MBES Boulder,300025.923,5992754.644,18.88,1.389,1.216,0.296
3,Manual MBES Boulder,300037.574,5992768.647,18.3,2.398,1.178,0.2
4,Manual MBES Boulder,300039.38,5992812.853,18.47,1.156,0.814,0.164
5,Manual MBES Boulder,300050.754,5992806.401,18.12,1.21,1.051,0.314
6,Manual MBES Boulder,300033.145,5992768.086,18.44,1.05,0.903,0.152
7,Manual MBES Boulder,300040.209,5992758.798,18.26,1.367,1.326,0.287
8,Manual MBES Boulder,300043.325,5992795.314,18.27,0.983,0.906,0.232
9,Manual MBES Boulder,300028.106,5992779.433,18.45,1.673,1.126,0.196
10,Manual MBES Boulder,300046.965,5992793.962,18.01,1.808,1.267,0.292
11,Manual MBES Boulder,300053.505,5992779.836,18.29,1.099,0.884,0.154
12,Manual MBES Boulder,300054.351,5992778.917,18.21,1.208,0.811,0.154
13,Manual MBES Boulder,300043.646,5992776.103,18.24,0.974,0.644,0.15
14,Manual MBES Boulder,300052.476,5992787.802,18.14,1.483,1.221,0.148
15,Manual MBES Boulder,300020.96,5992774.609,18.9,2.217,1.072,0.153
16,Manual MBES Boulder,300028.371,5992798.136,18.59,1.049,0.906,0.121
17,Manual MBES Boulder,300030.249,5992802.459,18.6,1.249,1.227,0.195
18,Manual MBES Boulder,300038.99,5992784.232,18.09,0.975,0.954,0.143
19,Manual MBES Boulder,300044.757,5992785.499,18.16,1.839,1.006,0.262
20,Manual MBES Boulder,300031.89,5992795.921,18.68,2.256,0.986,0.146
21,Manual MBES Boulder,300030.051,5992784.899,18.51,0.858,0.558,0.146
22,Manual MBES Boulder,300034.171,5992765.189,18.51,1.092,0.766,0.125
23,Manual MBES Boulder,300040.379,5992773.457,18.13,1.451,1.042,0.147
24,Manual MBES Boulder,300032.637,5992750.761,18.77,0.902,0.577,0.113
25,Manual MBES Boulder,300030.998,5992754.65,18.66,1.059,0.92,0.264
26,Manual MBES Boulder,300032.232,5992746.013,18.66,2.942,1.289,0.35
27,Manual MBES Boulder,300034.513,5992752.133,18.6,1.691,1.307,0.201
28,Manual MBES Boulder,300042.5,5992801.338,18.41,1.083,0.9,0.099
29,Manual MBES Boulder,300039.963,5992750.079,18.33,1.208,1.081,0.165
30,Manual MBES Boulder,300040.124,5992762.178,18.31,1.13,1.013,0.231
31,Manual MBES Boulder,300041.811,5992785.619,18.17,1.015,0.951,0.164
32,Manual MBES Boulder,300020.163,5992758.437,19.02,1.851,1.042,0.11
33,Manual MBES Boulder,300022.922,5992808.776,18.61,1.109,0.98,0.287
34,Manual MBES Boulder,300063.326,5992807.045,17.99,1.452,0.9,0.179
35,Manual MBES Boulder,300037.904,5992796.15,18.46,1.273,0.754,0.127
36,Manual MBES Boulder,300037.648,5992799.535,18.61,2.144,0.903,0.146
37,Manual MBES Boulder,300034.075,5992762.196,18.57,1.247,0.681,0.112
38,Manual MBES Boulder,300021.948,5992776.139,18.81,1.194,0.895,0.134
39,Manual MBES Boulder,300034.313,5992757.891,18.62,1.376,0.489,0.092
40,Manual MBES Boulder,300009.262,5992805.698,18.64,0.971,0.857,0.138
41,Manual MBES Boulder,300008.546,5992804.482,18.8,1.096,0.758,0.187
42,Manual MBES Boulder,300010.104,5992788.132,18.57,1.505,1.118,0.298
43,Manual MBES Boulder,300021.708,5992797.9,18.8,1.959,0.732,0.136
44,Manual MBES Boulder,300070.862,5992763.345,18.45,1.433,1.013,0.149
45,Manual MBES Boulder,300017.802,5992802.506,18.7,1.001,0.93,0.209
46,Manual MBES Boulder,300028.788,5992810.558,18.72,1.182,1.04,0.223
47,Manual MBES Boulder,300022.874,5992786.211,18.67,1.016,0.696,0.11
48,Manual MBES Boulder,300031.741,5992786.228,18.39,1.269,0.839,0.163
49,Manual MBES Boulder,300023.5,5992760.54,19.11,1.194,0.969,0.126
50,Manual MBES Boulder,300028.385,5992759.005,18.8,1.12,1.013,0.244
51,Manual MBES Boulder,300056.04,5992765.553,18.3,1.09,0.746,0.176
52,Manual MBES Boulder,300015.521,5992791.61,18.83,1.178,0.982,0.109
53,Manual MBES Boulder,300010.832,5992775.967,18.69,1.026,0.902,0.164
54,Manual MBES Boulder,300024.893,5992756.258,18.99,1.221,0.889,0.13
55,Manual MBES Boulder,300042.863,5992787.889,18.11,0.704,0.657,0.136
56,Manual MBES Boulder,300031.858,5992809.266,18.62,1.029,0.927,0.155
57,Manual MBES Boulder,300026.657,5992808.147,18.54,2.033,1.322,0.594
58,Manual MBES Boulder,300028.436,5992807.083,18.71,1.921,1.01,0.291
59,Manual MBES Boulder,300032.901,5992810.709,18.54,1.133,0.779,0.228
60,Manual MBES Boulder,300042.224,5992777.164,18.07,1.106,0.776,0.165
61,Manual MBES Boulder,300040.414,5992776.142,18.14,1.039,0.835,0.186
62,Manual MBES Boulder,300038.992,5992754.173,18.49,1.137,0.898,0.088
63,Manual MBES Boulder,300036.204,5992758.892,18.49,1.13,0.927,0.132
64,Manual MBES Boulder,300041.401,5992780.941,18.05,0.819,0.81,0.124
65,Manual MBES Boulder,300034.068,5992803.473,18.59,1.216,0.831,0.135
66,Manual MBES Boulder,300025.374,5992791.387,18.49,0.825,0.859,0.159
67,Manual MBES Boulder,300024.155,5992793.172,18.48,0.972,0.859,0.346
68,Manual MBES Boulder,300070.568,5992753.892,18.48,0.847,0.781,0.118
69,Manual MBES Boulder,300010.069,5992782.557,18.71,1.016,0.864,0.116
70,Manual MBES Boulder,300044.043,5992755.357,18.38,0.869,0.821,0.113
71,Manual MBES Boulder,300026.994,5992773.157,18.78,0.815,0.819,0.263
72,Manual MBES Boulder,300022.539,5992769.901,19.07,0.539,0.759,0.164
73,Manual MBES Boulder,300041.579,5992746.321,18.31,1.09,0.794,0.101
74,Manual MBES Boulder,300023.733,5992748.53,19.13,1.262,1.135,0.087
75,Manual MBES Boulder,300024.091,5992752.386,19.16,1.243,0.989,0.105
76,Manual MBES Boulder,300024.977,5992765.121,18.99,1.114,0.919,0.122
77,Manual MBES Boulder,300025.964,5992778.287,18.72,0.779,0.872,0.219
78,Manual MBES Boulder,300022.187,5992777.582,18.77,1.124,0.886,0.176
79,Manual MBES Boulder,300046.217,5992802.511,18.36,1.311,1.177,0.283
80,Manual MBES Boulder,300025.633,5992801.374,18.8,1.066,0.869,0.158
81,Manual MBES Boulder,300045.008,5992809.183,18.42,1.084,0.886,0.243
82,Manual MBES Boulder,297346.878,5992416.456,8.91,0.875,0.646,0.087
83,Manual MBES Boulder,302236.352,5993103.678,21.37,1.969,2.195,1.473
84,Manual MBES Boulder,300530.097,5989298.84,17.82,1.467,1.095,0.125
85,Manual MBES Boulder,302441.254,5993151.274,22.44,2.141,1.961,0.654
86,Manual MBES Boulder,299301.631,5992683.622,16.92,1.86,1.729,0.472
87,Manual MBES Boulder,299794.631,5994751.832,18.24,1.387,1.657,0.754
88,Manual MBES Boulder,299794.307,5994753.409,18.45,1.12,0.733,0.431
89,Manual MBES Boulder,299793.961,5994755.933,18.69,1.355,0.895,0.237
90,Manual MBES Boulder,301204.325,5992969.128,21.86,2.04,1.048,0.482
91,Manual MBES Boulder,301206.163,5992965.595,21.61,1.396,0.98,0.33
92,Manual MBES Boulder,300104.381,5992231.897,18.09,6.357,1.847,0.321
93,Manual MBES Boulder,299680.857,5992734.355,17.52,1.906,1.131,0.283
94,Manual MBES Boulder,299679.325,5992732.317,17.7,2.367,0.898,0.236
95,Manual MBES Boulder,300129.008,5992782.296,18.74,1.835,1.122,0.369
96,Manual MBES Boulder,300128.306,5992779.565,18.68,1.612,1.422,0.382
97,Manual MBES Boulder,300127.313,5992780.651,18.92,1.469,1.283,0.199
98,Manual MBES Boulder,302443.261,5993136.598,22.97,2.484,1.13,0.387
99,Manual MBES Boulder,299310.815,5992698.195,17.43,1.971,1.245,0.288
100,Manual MBES Boulder,299309.313,5992699.841,17.36,1.051,1.015,0.212
101,Manual MBES Boulder,299313.627,5992700.257,17.34,1.34,0.933,0.186
102,Manual MBES Boulder,300024.952,5992843.276,18.56,1.39,0.941,0.535
103,Manual MBES Boulder,300123.899,5992119.208,17.69,3.046,2.541,0.704
104,Manual MBES Boulder,300123.715,5992122.44,18.23,2.936,1.821,0.375
105,Manual MBES Boulder,303163.019,5993143.433,25.66,2.694,2.135,0.644
106,Manual MBES Boulder,303165.354,5993141.251,25.46,2.608,1.897,0.344
107,Manual MBES Boulder,300648.724,5992853.413,20.41,2.505,2.237,0.271
108,Manual MBES Boulder,300114.329,5992270.025,17.32,1.512,1.426,0.354
109,Manual MBES Boulder,300632.168,5992873.702,19.86,1.355,1.625,0.823
110,Manual MBES Boulder,300624.025,5992849.236,19.87,2.297,1.539,0.669
