,Easting Coord,Northing Coord,Depth
0,299686.532,5995428.977,19.85
1,299675.819,5995407.182,19.65
2,299646.03,5995623.847,19.97
3,299646.801,5995625.532,19.91
4,299617.795,5995799.742,20.24
5,299641.975,5995833.451,20.18
6,299632.194,5995608.834,19.82
7,299633.04,5995611.305,19.83
8,299689.93,5995459.363,19.81
9,299694.293,5995439.989,19.8
10,299665.759,5995403.446,19.46
11,299692.529,5995451.677,19.78
12,299627.442,5995841.969,20.16
13,299659.944,5995643.795,20.12
14,299615.33,5995802.683,20.25
15,299710.846,5995337.209,19.64
16,299698.444,5995461.62,19.94
17,299719.576,5995345.684,19.79
18,299633.95,5995753.784,20.08
19,299637.627,5995536.567,19.67
20,299683.129,5995484.036,19.81
21,299647.95,5995837.236,20.19
22,299670.837,5995430.702,19.7
23,299680.667,5995371.566,19.69
24,299688.564,5995463.919,19.7
25,299631.625,5995756.685,19.96
26,299658.087,5995655.643,19.88
27,299677.465,5995461.708,19.65
28,299670.125,5995488.294,19.75
29,299657.562,5995678.32,20.0
30,299675.978,5995439.951,19.6
31,299681.342,5995462.424,19.8
32,299656.678,5995624.401,19.97
33,299660.391,5995639.961,20.08
34,299638.31,5995804.45,20.3
35,299643.637,5995838.046,20.4
36,299678.853,5995446.194,19.77
37,299679.749,5995443.584,19.74
38,299663.816,5995406.675,19.71
39,299661.749,5995404.933,19.61
40,299658.326,5995826.155,20.37
41,299668.589,5995645.924,20.05
42,299692.825,5995422.791,19.71
43,299688.23,5995456.858,19.81
44,299686.946,5995483.638,19.68
45,299680.243,5995440.502,19.65
46,299688.749,5995528.523,19.84
47,299624.571,5995773.957,20.06
48,299682.498,5995437.884,19.72
49,299656.425,5995438.965,19.73
50,299649.709,5995622.02,19.87
51,299632.568,5995773.438,20.14
52,299668.947,5995362.298,19.4
53,299720.489,5995347.487,19.74
54,299670.448,5995662.531,20.06
55,299698.048,5995473.161,19.94
56,299655.085,5995623.227,20.03
57,299680.449,5995483.444,19.84
58,299636.825,5995745.945,20.23
59,299638.925,5995709.856,20.06
60,299678.341,5995431.937,19.74
61,299690.004,5995381.596,19.62
62,299700.59,5995477.399,19.95
63,299715.728,5995344.653,19.74
64,299671.421,5995490.322,19.72
65,299668.175,5995502.426,19.82
66,299608.11,5995834.144,20.27
67,299657.429,5995523.844,19.47
68,299643.212,5995544.425,19.74
69,299670.774,5995396.648,19.6
70,299659.495,5995551.122,19.7
71,299644.082,5995552.852,19.76
72,299661.596,5995634.273,19.94
73,299621.224,5995807.014,20.06
74,299652.248,5995741.75,20.19
75,299691.634,5995474.896,19.68
76,299675.967,5995601.256,19.95
77,299690.459,5995355.175,19.55
78,299669.182,5995512.077,19.7
79,299673.065,5995644.861,20.09
80,299684.56,5995444.2,19.68
81,299681.223,5995471.667,19.74
82,299685.224,5995516.15,19.87
83,299681.173,5995568.151,19.95
84,299662.48,5995754.834,20.23
85,299688.043,5995469.15,19.85
86,299683.672,5995402.869,19.58
87,299650.818,5995642.28,20.0
88,299659.911,5995702.924,20.17
89,299640.419,5995669.51,20.03
90,299622.288,5995840.77,20.19
91,299652.964,5995443.141,19.66
92,299723.037,5995357.574,19.74
93,299631.348,5995598.364,19.79
94,299706.123,5995440.856,19.72
95,299613.384,5995734.193,20.18
96,299674.056,5995650.906,20.04
97,299673.342,5995593.334,19.9
98,299682.464,5995468.693,19.81
99,299635.687,5995748.99,20.21
100,299639.858,5995802.478,20.29
101,299698.755,5995355.134,19.65
102,299672.441,5995497.896,19.72
103,299674.024,5995499.177,19.75
104,299674.784,5995503.565,19.74
105,299670.396,5995502.118,19.73
106,299672.938,5995462.999,19.71
107,299653.862,5995440.358,19.66
108,299681.331,5995460.69,19.76
109,299647.315,5995551.217,19.73
110,299662.581,5995523.103,19.65
111,299654.172,5995644.461,19.9
112,299622.74,5995836.677,20.16
113,299626.251,5995734.163,20.12
114,299663.573,5995643.199,20.0
115,299672.04,5995521.372,19.78
116,299669.105,5995644.21,20.04
117,299663.937,5995711.078,20.18
118,299653.391,5995692.391,20.07
119,299676.751,5995518.36,19.77
120,299690.927,5995403.886,19.64
121,299669.119,5995508.357,19.77
122,299682.923,5995361.891,19.58
123,299689.245,5995352.502,19.41
124,299684.415,5995353.253,19.39
125,299684.368,5995351.129,19.56
126,299680.812,5995359.44,19.58
127,299704.478,5995386.511,19.79
128,299677.608,5995387.767,19.6
129,299685.292,5995416.029,19.65
130,299684.883,5995421.744,19.72
131,299689.196,5995428.909,19.68
132,299687.6,5995425.813,19.83
133,299687.997,5995436.697,19.55
134,299686.059,5995436.362,19.73
135,299690.322,5995449.295,19.72
136,299687.523,5995450.156,19.61
137,299690.519,5995457.048,19.56
138,299691.124,5995454.149,19.75
139,299679.703,5995454.272,19.71
140,299661.489,5995500.383,19.7
141,299656.828,5995502.122,19.68
142,299663.854,5995521.478,19.8
143,299669.724,5995524.222,19.79
144,299686.933,5995526.759,19.87
145,299658.298,5995557.466,19.75
146,299634.906,5995566.767,19.84
147,299676.164,5995567.362,19.9
148,299673.904,5995591.284,19.9
149,299639.275,5995615.924,19.91
150,299667.218,5995611.007,19.94
151,299670.551,5995642.012,19.92
152,299670.762,5995643.378,19.98
153,299666.854,5995686.956,20.15
154,299639.823,5995744.219,20.19
155,299610.306,5995761.425,20.18
156,299644.074,5995782.568,20.3
157,299651.389,5995827.235,20.42
158,299638.195,5995844.977,20.33
159,299605.079,5995838.165,20.24
160,299700.041,5995339.422,19.5
161,299704.197,5995350.297,19.72
162,299703.941,5995409.929,19.8
163,299677.343,5995434.68,19.82
164,299672.898,5995441.906,19.7
165,299677.938,5995444.284,19.79
