,Easting Coord,Northing Coord,Depth
0,299673.5,5995562.5,19.89
1,299615.75,5995717.0,20.13
2,299708.25,5995439.75,19.87
3,299650.75,5995551.5,19.81
4,299604.25,5995808.25,20.25
5,299644.0,5995714.0,20.13
6,299660.5,5995412.5,19.66
7,299676.5,5995526.75,19.8
8,299656.25,5995752.0,20.25
9,299699.25,5995439.0,19.74
10,299683.75,5995513.75,19.85
11,299665.25,5995500.75,19.77
12,299711.25,5995392.5,19.89
13,299702.0,5995385.5,19.75
14,299636.5,5995698.5,20.1
15,299713.25,5995412.0,19.86
16,299678.25,5995376.25,19.57
17,299661.25,5995761.25,20.33
18,299685.75,5995379.25,19.6
19,299666.75,5995384.25,19.54
20,299619.25,5995720.75,20.16
21,299633.0,5995762.25,20.23
22,299708.25,5995391.75,19.83
23,299713.75,5995340.5,19.74
24,299658.5,5995701.0,20.21
25,299612.75,5995821.75,20.24
26,299703.75,5995477.25,19.92
27,299677.0,5995365.0,19.55
28,299610.0,5995748.0,20.15
29,299690.0,5995503.0,19.89
30,299610.5,5995844.5,20.34
31,299697.75,5995491.25,19.98
32,299638.5,5995747.5,20.2
33,299658.25,5995762.5,20.31
34,299630.75,5995627.75,19.92
35,299624.0,5995784.5,20.24
36,299673.25,5995472.0,19.78
37,299682.0,5995487.5,19.84
38,299662.5,5995370.0,19.52
39,299643.0,5995498.0,19.72
40,299696.75,5995374.5,19.73
41,299701.25,5995407.5,19.81
42,299679.0,5995448.75,19.75
43,299614.5,5995826.75,20.28
44,299664.25,5995376.0,19.52
45,299634.5,5995624.25,19.92
46,299632.75,5995678.75,20.06
47,299647.0,5995763.75,20.22
48,299640.75,5995787.75,20.3
49,299713.0,5995371.75,19.84
50,299647.5,5995660.5,20.05
51,299648.25,5995762.5,20.24
52,299652.25,5995434.0,19.73
53,299666.75,5995595.5,19.93
54,299636.75,5995702.25,20.13
55,299668.5,5995704.25,20.21
56,299698.75,5995418.5,19.87
57,299685.75,5995506.0,19.84
58,299694.75,5995529.5,19.95
59,299632.25,5995779.5,20.21
60,299662.75,5995693.75,20.19
61,299625.75,5995815.5,20.22
62,299640.25,5995622.5,19.97
63,299672.75,5995371.0,19.45
64,299642.75,5995562.5,19.79
65,299658.5,5995536.25,19.82
66,299624.0,5995764.5,20.21
67,299701.0,5995343.25,19.64
68,299641.5,5995659.25,20.04
69,299688.5,5995478.0,19.89
70,299648.75,5995717.25,20.18
71,299657.5,5995578.25,19.83
72,299680.0,5995535.0,19.86
73,299656.25,5995756.25,20.27
74,299656.0,5995528.75,19.78
75,299638.25,5995738.25,20.21
76,299679.25,5995357.5,19.59
77,299646.75,5995615.75,19.94
78,299626.75,5995711.75,20.1
79,299618.0,5995768.0,20.21
80,299649.5,5995700.0,20.14
81,299652.5,5995802.0,20.34
82,299655.75,5995618.25,19.95
83,299652.75,5995506.5,19.69
84,299679.75,5995423.25,19.7
85,299683.75,5995439.75,19.8
86,299714.0,5995378.5,19.85
87,299646.25,5995795.25,20.34
88,299664.25,5995722.0,20.21
89,299645.0,5995799.0,20.33
90,299666.75,5995748.75,20.32
91,299640.75,5995533.75,19.78
92,299686.5,5995549.25,19.91
93,299684.5,5995406.25,19.67
94,299691.5,5995352.75,19.67
95,299696.75,5995457.75,19.87
96,299632.0,5995625.75,19.91
97,299703.0,5995361.25,19.75
98,299633.5,5995682.5,20.05
99,299656.5,5995505.25,19.71
100,299631.5,5995700.5,20.08
101,299664.5,5995746.25,20.32
102,299631.75,5995750.75,20.27
103,299637.25,5995593.5,19.86
104,299632.25,5995602.0,19.93
105,299649.75,5995633.5,19.98
106,299688.25,5995346.5,19.66
107,299648.5,5995787.0,20.31
108,299673.25,5995390.5,19.68
109,299663.75,5995441.75,19.68
110,299657.75,5995743.25,20.22
111,299653.25,5995767.5,20.26
112,299695.5,5995408.5,19.74
113,299655.0,5995660.75,20.06
114,299645.0,5995723.25,20.15
115,299707.75,5995338.75,19.68
116,299690.5,5995510.0,19.92
117,299659.5,5995789.5,20.32
118,299666.5,5995563.5,19.84
119,299717.75,5995377.0,19.86
120,299661.5,5995456.5,19.7
121,299671.75,5995473.25,19.74
122,299673.75,5995510.0,19.84
123,299630.75,5995830.75,20.33
124,299663.25,5995530.25,19.8
125,299662.75,5995551.25,19.8
126,299650.25,5995695.0,20.15
127,299676.75,5995692.0,20.19
128,299691.0,5995387.0,19.65
129,299603.0,5995824.0,20.21
130,299683.5,5995522.25,19.88
131,299645.5,5995726.25,20.16
132,299643.0,5995657.75,20.04
133,299660.5,5995754.0,20.33
134,299665.0,5995429.25,19.66
135,299651.25,5995701.5,20.18
136,299641.25,5995673.0,20.05
137,299698.75,5995453.25,19.86
138,299684.75,5995518.5,19.89
139,299700.75,5995350.75,19.74
140,299609.25,5995745.75,20.15
141,299652.75,5995574.25,19.85
142,299700.25,5995396.75,19.76
143,299632.0,5995800.25,20.25
144,299624.25,5995758.75,20.22
145,299671.5,5995416.0,19.73
146,299624.75,5995796.0,20.23
147,299707.75,5995348.25,19.71
148,299646.5,5995590.25,19.88
149,299659.25,5995767.25,20.32
150,299669.0,5995700.5,20.2
151,299659.75,5995608.0,19.94
152,299695.75,5995539.0,19.96
153,299654.75,5995752.0,20.25
154,299630.5,5995661.25,20.03
155,299643.5,5995546.5,19.84
156,299663.0,5995652.5,20.06
157,299681.5,5995575.5,19.94
158,299690.75,5995393.25,19.64
159,299599.25,5995829.25,20.22
160,299646.5,5995629.0,20.0
161,299604.25,5995794.75,20.24
162,299687.25,5995349.0,19.67
163,299700.0,5995409.75,19.82
164,299656.0,5995653.75,20.09
165,299667.0,5995577.5,19.88
166,299631.5,5995829.25,20.32
167,299660.25,5995567.0,19.8
168,299658.75,5995533.0,19.81
169,299639.0,5995622.75,19.94
170,299681.5,5995615.75,20.06
171,299631.0,5995670.5,20.02
172,299695.5,5995401.25,19.7
173,299627.5,5995795.5,20.22
174,299650.75,5995839.5,20.35
175,299698.75,5995399.25,19.79
176,299687.0,5995490.75,19.85
177,299695.25,5995513.0,19.88
178,299655.0,5995557.25,19.82
179,299640.75,5995781.25,20.29
180,299714.5,5995337.25,19.69
181,299669.25,5995551.75,19.84
182,299658.0,5995548.5,19.8
183,299669.25,5995486.25,19.73
184,299646.5,5995655.0,20.05
185,299659.75,5995521.5,19.77
186,299715.75,5995370.75,19.83
187,299695.75,5995484.0,19.91
188,299677.5,5995664.75,20.16
189,299702.75,5995403.0,19.8
190,299634.25,5995827.5,20.34
191,299621.25,5995748.5,20.21
192,299658.5,5995803.25,20.36
193,299671.75,5995696.0,20.17
194,299683.75,5995625.25,20.09
195,299641.75,5995566.5,19.82
196,299690.75,5995367.75,19.6
197,299662.75,5995427.5,19.64
